place,category,city,description,type
Relax Gate Spa,General,Alkhobar,"Professional staff and very clean and open environment. The ambience is great there, the staff is well qualified and professional.",Spa
Relook Salon,Woman,Jeddah,"Nails care, hair care and many other services that every woman needs are available here in Relook salon.",Spa
Rhamaniya Center,General,Alkhobar,"Al Rahmaniyah Shopping Center provides a range of goods and products that meet the basic and secondary needs of customers. It includes clothes, bags of all kinds, shoes, and others.",Malls
Riyadh gallery,General,Riyadh,Mall,Malls
Riyadh park mall,General,Riyadh,Mall,Malls
Riyadh zoo,General,Riyadh,With its inclusion of a different number of animals amounting to 1500 animals. Riyadh Zoo is one of the tourist destinations in Riyadh that people come to visit. ,Parks
Rocks of AlUla,General,Al-Ula,"Stunning rock formations, surrounded by a group of pearls of the great Milky Way galaxy.",Recreational Sites
Roshn Waterfront,General,Jeddah,"Enjoy the charming view of the sea. Where there are gangway, children playing area, restaurants and cafes and much more.",Beach
Ruhi,General,Riyadh,"Serving cuisine from the heart of Riyadh, Indian dishes combine a dash of soul with gracious elegance and plenty of tradition. Inspired by India's vast and rich heritage, the opportunity to sample traditional Japanese flavors as well as a menu of rare finds.",Restaurants & Cafes
Saffron restaurant,General,Al-Ula,"Saffron Restaurant, owned by the Banyan Tree brand and the first of its kind in Al-Ula, offers the most delicious Thai food prepared with the utmost precision and care by elite Thai chefs. The relaxed atmosphere combined with excellent services and contemporary design make it ideal for hosting special events with an authentic Thai atmosphere.",Restaurants & Cafes
Salam park,General,Riyadh,"Extends over an area of 248,000 square meters, due to its unique green spaces and relaxing views.",Parks
Samary Cafe,General,Abha,Newly opened coffee shop specializing in tea,Restaurants & Cafes
Sara Cafe,General,Jeddah,"Cozy Cafe that serves speciality coffee and delicious snacks, interest to provide gluten-free and sugar-free meals. There is a section for women and general section.",Restaurants & Cafes
Scitech Center,General,Alkhobar,"The Sultan Bin Abdulaziz Center for Science and Technology is one of the distinguished modern museums of Al-Khobar, which is unique in its kind within the city, and it contains several sections, each of which includes a dedicated content, such as: the astronomical observatory, which attracts students annually in particular, and a section that displays some types of marine organisms inside large water basins, in addition to temporary exhibition halls and administrative and service facilities.",Historical Sites
Sense coffee,Woman,Riyadh,"Women's coffee only, children are not allowed",Restaurants & Cafes
Shada Archaeological Palace,General,Abha,"One of the best places in Abha that explains its contemporary social history through its precious holdings of manuscripts, coins, pictures, old farming and house tools that were used in Abha during the 18th century",Historical Sites
Shaikh Abdulaziz Park,General,Alkhobar,Very big park. Good for kids for cycling. Slides available for small kids. Safe for expat kids.,Parks
Shaikh Ali Park,General,Alkhobar,The park enjoys a lot of beautiful and creative spaces that contribute to bringing people together and creating special memories with their friends and family members,Parks
Shamsan Historical Castle,General,Abha,"It is a stone castle, one of the oldest and most ancient places of tourism in Abha, due to its long history, which dates back to the third year BC. The castle, which is located at the foot of a mountain, is distinguished by its wonderful view of the city center of Abha and its being home to the Saudi Ramadan cannon.",Historical Sites
Shells' Park,General,Alkhobar,Very good for walking and jogging. Good with family,Parks
Sky Zone,Kids,Alkhobar,"One of the most attractive amusement parks for visitors in the city of Al-Khobar, as it occupies a relatively large area that is completely dedicated to children and is divided into an area designated for food and drink, and an indoor hall decorated with the most beautiful designs and colorful shapes and equipped with the latest games that can be enjoyed individually or collectively, ensuring that all children have access to Fun and entertaining times.",Recreational Sites
Sky Zone Alkhobar,General,Alkhobar,"Sky Zone Al Khobar offers a variety of electric games that adults and children will be happy to experience, as they are diverse and everyone can choose the games that will arouse a sense of challenge in them.",Recreational Sites
Snow city,General,Riyadh,"It is no longer conditional to enjoy skiing in snowy areas only, as the snow city of Riyadh has been prepared with cold weather, providing ski lovers the opportunity to practice their favorite sport throughout the year.",Recreational Sites
Souda Mountain,General,Abha,"You can enjoy the stunning views as well as take a walk at the summit due to the availability of designated areas for that, and also visitors can spend enjoyable times in the restaurants and cafes available at the summit, it is worth noting that the visitor can reach the top of the mountain by cable car",Parks
Spa Lounge,Woman,Jeddah,"For lexation, massage and many services such as hair care,  body care and much more.",Spa
Sparky's,Kids,Abha,"Sparky's is considered the best amusement park in Abha that cannot be ignored, as it provides various games such as multi-level electric games, as well as exciting water games.",Recreational Sites
Sucre Sale,General,Jeddah,French revolution and cafe serve famous French dishes and bakeries.,Restaurants & Cafes
Sunset Beach,General,Alkhobar,"Sunset Beach Resort is one of the best places that offers visitors ideal opportunities for entertainment with a wide variety of water games, such as the giant spiral ball. Also, in the evening, it is for women only",Water Resorts
Super Hero,Kids,Alkhobar,"A salon dedicated to children's hairdressing, characterized by its calmness, organization, good reception, and the wonderful treatment of all employees. It also provides a pre-booking service.",Recreational Sites
Swalief aldira,General,Riyadh,"For authentic and delicious popular dishes with the character of the beautiful and heritage place, we offer Saudi traditional dishes. ",Restaurants & Cafes
Taibah Gangway,General,Jeddah,Gangway for enjoy walking,Parks
Tala mall,General,Riyadh,Mall,Malls
Tameesa,General,Riyadh,A journey into Riyadh's past can begin with the attractive Tameesa restaurant. Creatively create breakfast dishes a welcoming and lively atmosphere at Tamesah Restaurant in Riyadh. ,Restaurants & Cafes
Tantora,General,Al-Ula,"The name itself( Tantora) , which comes from a sundial, is culturally significant to the people of the region who relied on it to tell the time and celebrate the return of the planting season at the beginning of winter.",Historical Sites
Taybeen Museum,General,Alkhobar,"Is an unexpected journey to the past telling the details of the society life between the 1970s -1990s through thousands of rare items. It includes food, dirnks, toys, devices, accessories and many other unique items that will bring back the happy memorie to the viewers. ""A generation story""",Historical Sites
Tekzone,Kids,Jeddah,World of virtual and electronic games that are fun and interesting for your children.,Recreational Sites
Test,Woman,Al-balad Jeddah,test,Recreational Sites
The California Burger,General,Jeddah,American restaurant specialized in serving beef burgers and delicious side dishes.,Restaurants & Cafes
The Escape Hotel,General,Jeddah,"For fans of adventure, horror and mystery here at Escape hotel. Where there are many mysterious and terrifying puzzles that require solutions to escape and survive this relastic adventure.",Recreational Sites
The Track,General,Jeddah,"The largest karting circuit in Jeddah, for fans of racing and karting. Enjoy the fun of adventure and challenge here at The Track.",Recreational Sites
The only season spa,General,Riyadh,"Come with us on a journey towards the utmost comfort and choose from the many services within an elegant and refreshing atmosphere that surrounds you in a calm, healthy and sterile environment with the hands of a specialized expert.",Spa
The spa,Woman,Riyadh,"It is among our list of the best women's spa in Riyadh,which provides an integrated world of luxury and beauty that will make you feel happy and distinguished, and it also provides many luxurious services.",Spa
Thulth Café,General,Jeddah,"An elegant option for drinking coffee, tea and specialty drinks. In addition to snack, it is also provides a breakfast menu.",Restaurants & Cafes
Tofareya,General,Riyadh,"For all those who love Saudi food and try everything new, Toufaria Restaurant offers the authentic taste of Saudi traditional food",Restaurants & Cafes
Top Academy Spa,Woman,Alkhobar,Experience one of thier many spa services in a tranquil environment that will revitalize your spirit. they are here to meet your needs. Book your service today,Spa
TopCoat Spa,General,Alkhobar,Top Coat Spa is one of the best hair and nail care spas in Al-Khobar. It is a wonderful and very clean place with excellent professional staff.,Spa
Tulip spa,Woman,Riyadh,A place where you find yourself. ,Spa
Twinkle spa ,Kids,Riyadh,Let your star renew her sense of freshness and activity in a new experience and real pleasure. located in woosh,Spa
Urth Caffe,General,Jeddah,Coffee shop that provides the best tasting food and thr best organic coffee and tea from around the world.,Restaurants & Cafes
Venicia Mall,General,Alkhobar,"It is a good sized mall, in which you can enjoy a lot of great family shopping experiences especially for women's clothing. It has an amazing food court and kids area.",Malls
Vitality,Woman,Riyadh,"You'll find the right mix of equipment, classes, and experts to help you reach your fitness ambitions. ",Recreational Sites
Wacafe Coffee,General,Al-Ula,"A unique destination that satisfies your love for coffee while exploring the old town of Al-Ula with the most delicious types of croissants, cinnamon rolls and many other fresh sweets hosted by Wakf CafÃ©. The aroma of freshly ground coffee and hot croissants wafts in the old town of AlUla from the cafe's bakery, which is distinguished by its elegant design, and its decor decorated with the most beautiful handcrafted ceramic pieces.",Restaurants & Cafes
Water Park,Kids,Jeddah,Enjoy water games for your children.,Water Resorts
Water Tower,General,Alkhobar,"The water tower is one of the most important attractions and landmarks of the city of Al-Khobar, and it is located on an artificial island. It has a tank that holds 5,000 cubic meters of water.",Historical Sites
Water Village,Kids,Jeddah,Enjoy water games and fun water adventure for you and your children.,Water Resorts
Winter park,General,Al-Ula,An open garden containing a variety of shops and a tourist information store,Parks
Winter wonderland,General,Riyadh,"Opens in seasons. Riyadh hosts Winter Wonderland, the largest amusement park, which combines adventures and games with a unique experience for family and friends. ",Recreational Sites
Wok to Walk,General,Jeddah,Japanese restaurant serves many famous dishes from Japanese cuisine.,Restaurants & Cafes
Woosh ,Kids,Riyadh,"Let Wash Riyadh amusement park be your next stop during tourism in Riyadh, as this amusement park is unique with a variety of attractions suitable for all ages, and this makes it a place that many would like to visit.",Recreational Sites
Xtreme Play,Kids,Jeddah,Unlimited fun of trampoline here in Xtreme Play.,Recreational Sites
Yam Beach,General,Jeddah,"For beach lovers and swimming in the beach, relaxation and much more. .",Beach
Yamamah Walkway,General,Jeddah,Walkway and Park sutibale for families and children ,Parks
Zaroob,General,Jeddah,To experience the Levantine stree food from breakfast until lunch and dinner.,Restaurants & Cafes
Zillion Restaurant&Lounge,General,Jeddah,"Restaurant and Lounge that offers varied international food, Arabic grills with view of the sea.",Restaurants & Cafes
khobar plaza,General,Alkhobar,Khobar Plaza is where you can get great deals on everything from furniture and home appliances to clothing and accessories. products with prices that suit all budgets. ,Malls
nahda park,General,Riyadh,"It is an ideal place to relax and spend a special time for everyone, as it is possible to take a walk and enjoy the wonderful green scenery that the garden reflects.",Parks
Sadeen commercial Center,General,Alkhobar,"Sadeen Commercial Center Transformed The Shopping Experience In Alkhubar , By Offering A Premium Destination For Shopping, Dining And Entertainment",Malls
